索引,代号1,代号2,X轴坐标,Y轴坐标,压线筒内经,压线筒外经,焊杯高度（压线筒深度）,纤芯直径,线束直径,屏蔽层直径,焊杯类型
index,mark1,mark2,coordx,coordy,insideDiameter,outsideDiameter,cupHeight,coreDiameter,lineDiameter,shieldDiameter,cupType
1,1,A,2.84,11.56,1.17,1.78,3.5,,,,
2,2,B,5.72,9.91,1.17,1.78,3.5,,,,
3,3,C,8.53,8.26,1.17,1.78,3.5,,,,
4,4,D,11.43,3.3,1.17,1.78,3.5,,,,
5,5,E,11.43,0,1.17,1.78,3.5,,,,
6,6,F,11.43,-3.3,1.17,1.78,3.5,,,,
7,7,G,8.53,-8.26,1.17,1.78,3.5,,,,
8,8,H,5.72,-9.91,1.17,1.78,3.5,,,,
9,9,J,2.84,-11.56,1.17,1.78,3.5,,,,
10,10,K,-2.84,-11.56,1.17,1.78,3.5,,,,
11,11,L,-5.72,-9.91,1.17,1.78,3.5,,,,
12,12,M,-8.53,-8.26,1.17,1.78,3.5,,,,
13,13,N,-11.43,-3.3,1.17,1.78,3.5,,,,
14,14,P,-11.43,0,1.17,1.78,3.5,,,,
15,15,R,-11.43,3.3,1.17,1.78,3.5,,,,
16,16,S,-8.53,8.26,1.17,1.78,3.5,,,,
17,17,T,-5.72,9.91,1.17,1.78,3.5,,,,
18,18,U,-2.84,11.56,1.17,1.78,3.5,,,,
19,19,V,0,9.91,1.17,1.78,3.5,,,,
20,20,W,2.84,8.26,1.17,1.78,3.5,,,,
21,21,X,5.73,6.6,1.17,1.78,3.5,,,,
22,22,Y,8.53,4.95,1.17,1.78,3.5,,,,
23,23,Z,8.53,1.65,1.17,1.78,3.5,,,,
24,24,a,8.53,-1.65,1.17,1.78,3.5,,,,
25,25,b,8.53,-4.95,1.17,1.78,3.5,,,,
26,26,c,5.73,-6.6,1.17,1.78,3.5,,,,
27,27,d,2.84,-8.26,1.17,1.78,3.5,,,,
28,28,e,0,-9.91,1.17,1.78,3.5,,,,
29,29,f,-2.84,-8.26,1.17,1.78,3.5,,,,
30,30,g,-5.73,-6.6,1.17,1.78,3.5,,,,
31,31,h,-8.53,-4.95,1.17,1.78,3.5,,,,
32,32,i,-8.53,-1.65,1.17,1.78,3.5,,,,
33,33,j,-8.53,1.65,1.17,1.78,3.5,,,,
34,34,k,-8.53,4.95,1.17,1.78,3.5,,,,
35,35,m,-5.73,6.6,1.17,1.78,3.5,,,,
36,36,n,-2.84,8.26,1.17,1.78,3.5,,,,
37,37,p,0,6.6,1.17,1.78,3.5,,,,
38,38,q,2.84,4.95,1.17,1.78,3.5,,,,
39,39,r,5.72,3.3,1.17,1.78,3.5,,,,
40,40,s,5.72,0,1.17,1.78,3.5,,,,
41,41,t,5.72,3.3,1.17,1.78,3.5,,,,
42,42,u,2.84,-4.95,1.17,1.78,3.5,,,,
43,43,v,0,-6.6,1.17,1.78,3.5,,,,
44,44,w,-2.84,-4.95,1.17,1.78,3.5,,,,
45,45,x,-5.72,3.3,1.17,1.78,3.5,,,,
46,46,y,-5.72,0,1.17,1.78,3.5,,,,
47,47,z,-5.72,3.3,1.17,1.78,3.5,,,,
48,48,AA,-2.84,4.95,1.17,1.78,3.5,,,,
49,49,BB,0,3.3,1.17,1.78,3.5,,,,
50,50,CC,2.84,1.65,1.17,1.78,3.5,,,,
51,51,DD,2.84,-1.65,1.17,1.78,3.5,,,,
52,52,EE,0,-3.3,1.17,1.78,3.5,,,,
53,53,FF,-2.84,-1.65,1.17,1.78,3.5,,,,
54,54,GG,-2.84,1.65,1.17,1.78,3.5,,,,
55,55,HH,0,0,1.17,1.78,3.5,,,,
