索引,代号1,代号2,X轴坐标,Y轴坐标,压线筒内经,压线筒外经,焊杯高度（压线筒深度）,纤芯面积,线束直径,屏蔽层直径,焊杯类型
index,mark1,mark2,coordx,coordy,insideDiameter,outsideDiameter,cupHeight,coreArea,lineOuterDiameter,shieldDiameter,cupType
1,1,A,4.98,12.7,1.17,1.78,3.5,,,,
2,2,B,7.98,11.05,1.17,1.78,3.5,,,,
3,3,C,10.49,8.81,1.17,1.78,3.5,,,,
4,4,D,12.32,5.84,1.17,1.78,3.5,,,,
5,5,E,13.39,2.57,1.17,1.78,3.5,,,,
6,6,F,13.61,-0.76,1.17,1.78,3.5,,,,
7,7,G,12.98,-4.17,1.17,1.78,3.5,,,,
8,8,H,11.53,-7.29,1.17,1.78,3.5,,,,
9,9,J,9.35,-9.93,1.17,1.78,3.5,,,,
10,10,K,6.58,-11.94,1.17,1.78,3.5,,,,
11,11,L,3.34,-13.18,1.17,1.78,3.5,,,,
12,12,M,0,-13.64,1.17,1.78,3.5,,,,
13,13,N,-3.34,-13.18,1.17,1.78,3.5,,,,
14,14,P,-6.58,-11.94,1.17,1.78,3.5,,,,
15,15,R,-9.35,-9.93,1.17,1.78,3.5,,,,
16,16,S,-11.53,-7.29,1.17,1.78,3.5,,,,
17,17,T,-12.98,-4.17,1.17,1.78,3.5,,,,
18,18,U,-13.61,-0.76,1.17,1.78,3.5,,,,
19,19,V,-13.39,2.57,1.17,1.78,3.5,,,,
20,20,W,-12.32,5.84,1.17,1.78,3.5,,,,
21,21,X,-10.49,8.81,1.17,1.78,3.5,,,,
22,22,Y,-7.98,11.05,1.17,1.78,3.5,,,,
23,23,Z,-4.98,12.7,1.17,1.78,3.5,,,,
24,24,a,-1.73,11.53,1.17,1.78,3.5,,,,
25,25,b,1.73,11.53,1.17,1.78,3.5,,,,
26,26,c,4.39,9.22,1.17,1.78,3.5,,,,
27,27,d,7.24,7.19,1.17,1.78,3.5,,,,
28,28,e,9.19,4.15,1.17,1.78,3.5,,,,
29,29,f,10.13,1.17,1.17,1.78,3.5,,,,
30,30,g,9.96,-2.24,1.17,1.78,3.5,,,,
31,31,h,8.86,-5.41,1.17,1.78,3.5,,,,
32,32,i,6.38,-7.98,1.17,1.78,3.5,,,,
33,33,j,3.38,-9.63,1.17,1.78,3.5,,,,
34,34,k,0,-10.27,1.17,1.78,3.5,,,,
35,35,m,-3.38,-9.63,1.17,1.78,3.5,,,,
36,36,n,-6.38,-7.98,1.17,1.78,3.5,,,,
37,37,p,-8.86,-5.41,1.17,1.78,3.5,,,,
38,38,q,-9.96,-2.24,1.17,1.78,3.5,,,,
39,39,r,-10.13,1.17,1.17,1.78,3.5,,,,
40,40,s,-9.19,4.15,1.17,1.78,3.5,,,,
41,41,t,-7.24,7.19,1.17,1.78,3.5,,,,
42,42,u,-4.39,9.22,1.17,1.78,3.5,,,,
43,43,v,0,8.59,1.17,1.78,3.5,,,,
44,44,w,3.73,5.66,1.17,1.78,3.5,,,,
45,45,x,6.02,3.1,1.17,1.78,3.5,,,,
46,46,y,6.78,-0.25,1.17,1.78,3.5,,,,
47,47,z,5.79,-3.53,1.17,1.78,3.5,,,,
48,48,AA,3.33,-5.92,1.17,1.78,3.5,,,,
49,49,BB,0,-6.78,1.17,1.78,3.5,,,,
50,50,CC,-3.33,-5.92,1.17,1.78,3.5,,,,
51,51,DD,-5.79,-3.53,1.17,1.78,3.5,,,,
52,52,EE,-6.78,-0.25,1.17,1.78,3.5,,,,
53,53,FF,-6.02,3.1,1.17,1.78,3.5,,,,
54,54,GG,-3.73,5.66,1.17,1.78,3.5,,,,
55,55,HH,0,5.08,1.17,1.78,3.5,,,,
56,56,JJ,2.67,2.39,1.17,1.78,3.5,,,,
57,57,KK,3.43,-1.04,1.17,1.78,3.5,,,,
58,58,LL,0,-3.35,1.17,1.78,3.5,,,,
59,59,MM,-3.43,-1.04,1.17,1.78,3.5,,,,
60,60,NN,-2.67,2.39,1.17,1.78,3.5,,,,
61,61,PP,0,0,1.17,1.78,3.5,,,,
