编号,名称,X坐标,Y坐标,类型
:part,name,x,y,type
1,A,0,10.605,Circular
2,B,-3.277125,10.085954,Circular
3,C,-6.233462,8.579625,Circular
4,D,-8.579625,6.233463,Circular
5,E,-10.085954,3.277126,Circular
6,F,-10.605,0.000001,Circular
7,G,-10.085955,-3.277125,Circular
8,H,-8.579626,-6.233462,Circular
9,J,-6.233463,-8.579625,Circular
10,K,-3.277126,-10.085954,Circular
11,L,-0.000001,-10.605,Circular
12,M,3.277124,-10.085955,Circular
13,N,6.233462,-8.579626,Circular
14,P,8.579625,-6.233463,Circular
15,R,10.085954,-3.277126,Circular
16,S,10.605,-0.000001,Circular
17,T,10.085955,3.277124,Circular
18,U,8.579626,6.233462,Circular
19,V,6.233464,8.579624,Circular
20,W,3.277127,10.085954,Circular
21,X,0,7.2,Circular
22,Y,-3.314554,6.391692,Circular
23,Z,-5.884891,4.148259,Circular
24,a,-7.133895,0.973417,Circular
25,b,-6.781126,-2.419986,Circular
26,c,-4.905791,-5.270029,Circular
27,d,-1.92896,-6.936794,Circular
28,e,1.48098,-7.046041,Circular
29,f,4.558397,-5.573241,Circular
30,g,6.612317,-2.849082,Circular
31,h,7.181574,0.514781,Circular
32,i,6.138353,3.76306,Circular
33,j,3.716888,6.16642,Circular
34,k,0,3.81,Circular
35,m,-2.97136,2.384769,Circular
36,n,-3.719688,-0.824635,Circular
37,p,-1.68512,-3.417085,Circular
38,q,1.610175,-3.453033,Circular
39,r,3.700813,-0.905584,Circular
40,s,3.022677,2.319381,Circular
41,t,0,0,Circular
