编号,名称,X坐标,Y坐标,类型
:part,name,x,y,type
1,A,2.84,11.56,Circular
2,B,5.72,9.91,Circular
3,C,8.53,8.26,Circular
4,D,11.43,3.3,Circular
5,E,11.43,0,Circular
6,F,11.43,-3.3,Circular
7,G,8.53,-8.26,Circular
8,H,5.72,-9.91,Circular
9,J,2.84,-11.56,Circular
10,K,-2.84,-11.56,Circular
11,L,-5.72,-9.91,Circular
12,M,-8.53,-8.26,Circular
13,N,-11.43,-3.3,Circular
14,P,-11.43,0,Circular
15,R,-11.43,3.3,Circular
16,S,-8.53,8.26,Circular
17,T,-5.72,9.91,Circular
18,U,-2.84,11.56,Circular
19,V,0,9.91,Circular
20,W,2.84,8.26,Circular
21,X,5.73,6.6,Circular
22,Y,8.53,4.95,Circular
23,Z,8.53,1.65,Circular
24,a,8.53,-1.65,Circular
25,b,8.53,-4.95,Circular
26,c,5.73,-6.6,Circular
27,d,2.84,-8.26,Circular
28,e,0,-9.91,Circular
29,f,-2.84,-8.26,Circular
30,g,-5.73,-6.6,Circular
31,h,-8.53,-4.95,Circular
32,i,-8.53,-1.65,Circular
33,j,-8.53,1.65,Circular
34,k,-8.53,4.95,Circular
35,m,-5.73,6.6,Circular
36,n,-2.84,8.26,Circular
37,p,0,6.6,Circular
38,q,2.84,4.95,Circular
39,r,5.72,3.3,Circular
40,s,5.72,0,Circular
41,t,5.72,3.3,Circular
42,u,2.84,-4.95,Circular
43,v,0,-6.6,Circular
44,w,-2.84,-4.95,Circular
45,x,-5.72,3.3,Circular
46,y,-5.72,0,Circular
47,z,-5.72,3.3,Circular
48,AA,-2.84,4.95,Circular
49,BB,0,3.3,Circular
50,CC,2.84,1.65,Circular
51,DD,2.84,-1.65,Circular
52,EE,0,-3.3,Circular
53,FF,-2.84,-1.65,Circular
54,GG,-2.84,1.65,Circular
55,HH,0,0,Circular
