任务编号,任务名（方便管理),通关获得物品(场景ID:物品:数量:几率@场景ID:物品:数量:几率),指定怪物产出物品(怪物ID:物品:数量:几率@怪物ID:物品:数量:几率),收集指定物品(物品:数量@物品:数量),是否保留任务物品(1保留 0删除),击杀指定怪物(怪物ID:数量@怪物ID:数量),后续任务ID,前续任务ID（用于判定该任务是否可接取）,接取成功时候追加任务（任务接取成功时候）,后续支线任务（主线任务交付成功后可用）,任务天数（7日礼包使用）,接取任务成功时候的引导,交付任务成功时候的引导,接取任务开放功能(变量),交付任务开放功能(变量),是否已经被删除不用,任务比较范围和显示先后,是否接取任务后就可交付,是否可自动接取,是否可自动交付,任务添加先后（支线任务任务追踪使用）,任务追踪显示,可交付时点击交付(非自动交付使用),任务类型,公会任务任务类型（1打败NPC，2搜集物资，3通关场景，4指定地图使用道具，5购买特殊商品）,是否是礼包类任务,任务重复次数,任务等级,接任务NPC（游戏中唯一）,完成任务NPC（游戏中唯一）,接取任务给予物品,任务名称,任务目标描述,任务追加描述,任务奖励金钱,任务奖励经验,任务奖励蓝钻,任务奖励魔力精华,任务奖励荣誉值,任务奖励体力,任务奖励活跃度,任务奖励公会贡献度,任务奖励物品,任务职业奖励物品,任务目标地图编号,任务目标场景编号,多任务场景ID(场景ID:场景ID:场景ID),任务所需物品,公会任务搜集物品,公会任务使用特定物品,公会任务购买特定物品,任务目标传送点,任务总次数,任务初始次数,完成需要蓝钻,是否特别显示,交付任务点击脚本函数,点击脚本函数,领取后有引导,完成后有引导,完成提示ID,功能提示字符串ID,特殊显示ID,赏金任务描述显示,ICON显示类型,任务次级类型,任务类型系数,随机重复次数,随机重复次数,任务等级范围,任务等级范围,赏金经验,赏金金币,赏金蓝钻,赏金魔力,赏金精灵口粮
TID,TASKNAMETOSEE,PASSSCENEGOODS,DROPGOODS,COLLECTGOODS,ISHOLD,KILLMONSTER,NEXTTASKID,PRETASKID,ACCEPTSUCCESSADDQUEST,NEXTCIRCLETASK,TASKDAY,ACCEPTSUCCESSGUIDE,SHELLOUTSUCCESSGUIDE,ACCEPTFUNCTIONVAR,SHELLOUTFUNCTIONVAR,ISDELETE,COMPAREAANDSHOWORDER,ACCEPTCANFINISH,AUTOACCEPT,AUTOSHELLOUT,ADDORDER,NOTSHOWINMINIMAP,TOUCHSHELLOUT,TTYPE,UNIONTASKTYPE,ISLIBAOTASK,TCIRCLE,TLEVEL,TACCEPTNPC,TFINISHNPC,ACCEPTREWARDGOODS,TNAME,TDESTDESC,TZUIJIA,TAYMONEY,TPAYEXP,TAYGOLD,TAYMLJH,TAYRYZ,TAYTL,TAYHYD,TAYUNIONGX,REWARDGOODS,REWARDGOODS_OCC,TDESTMAPID,TDESTREGIONID,TDESTMORESCENE,TDESTGOODSTYPE,UNIONTASKCOLLECTGOODS,UNIONTASKUSEGOODS,UNIONTASKBUYGOODS,TTARGETRANSNPC,TASKALLTIME,TASKSTARTPROCESS,COMPELETENEEDGOLD,SPECIALSHOW,SHELLOUTQUESTFUNCTION,TOUCHLUAFUNCTION,ADDISHAVEGUIDE,FINISHISHAVEGUIDE,FINISHNOTICEID,FUNCTIONSTRID,SPECIALSTRID,TSUBDESC,ICONTYPE,TSUBTYPE,TASKTYPENUM,MINCIRCLE,MAXCIRCLE,TMINLEVEL,TMAXLEVEL,TSUBEXP,TSUBMONEY,TSUBGOLD,TSUBMLI,TSUBSPRITE
1000,城主的邀请,,,,,,1002,0,,,,,guide_takeupweapon_01_1,,mainbar_hicon_3:mainbar_vicon_4:mainbar_hicon_8:mainbar_vicon_1,,,1,0,0,,,,1,,,0,1,N_城主艾里克斯,N_城主艾里克斯,,52642,52637,,100,1400,,,,,,,01_2_clothes:1@gold:10,,0,1000,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
1002,调查平原,,,,,,1003,1000,,,,guide_open_game_notice,,function_gameactivitynotice,mainbar_vicon_3,,,0,0,1,,,,1,,,0,2,N_城主艾里克斯,,,52000,52004,,100,1800,,,,,,,,,1,800,,,,,,N_副本传送点1,1,,,,,guide_ontouch1002task,,,,,,,,,,,,,,,,,,
1003,初入平原,,,,,,1004,1002,,,,guide_xunlu_special,guide_takeupweapon_01_2,,,,,0,1,1,,,,1,,,0,3,,,,52010,52744,,100,1800,,,,,,,,,1,1001,,,,,,N_副本传送点1,1,,,,,,,,,,,,,,,,,,,,,,,
1004,兽性激发,,,,,,1005,1003,,,,,shelloutquest1004talk,,function_allgiftlistpage,,,0,1,1,,,,1,,,0,4,,,,52020,52745,,300,1100,,,,,,,qianghuafuwen:10,,1,1002,,,,,,N_副本传送点1,1,,,,,,,,,,,,,,,,,,,,,,,
1005,深陷狼窝,,,,,,1006,1004,,,,guide_equip_qianghua,shelloutquest1005talk,function_qianghua:mainbar_vicon_6,function_shouchong:function_addhp_addmp,,,0,0,0,,,,1,,,0,5,N_守卫贾德森,N_守卫贾德森,,52030,52746,,300,1900,,,,,,,,,1,1003,,,,,,N_副本传送点1,1,,,,,,,,,,,,,,,,,,,,,,,
1006,偶然发现,,,,,,1007,1005,,,,,guide_study_3_skill,,mainbar_hicon_7,,,0,1,1,,,,1,,,0,6,,,,52040,52747,,300,2400,,,,,,,,,1,1004,,,,,,N_副本传送点1,1,,,,,,,,,,,,,,,,,,,,,,,
1007,地精王国,,,,,,1008,1006,,,,,firstguide_chenghao_takeup,,function_chenghao,,,0,1,1,,,,1,,,0,7,,,,52050,52748,,300,2900,,,,,,,,,1,1005,,,,,,N_副本传送点1,1,,,,,,,,,,,,,,,,,,,,,,,
1008,调查结果,,,,,,2000,1007,,,,,guide_everyday_sign,,function_everyday_sign,,,1,1,0,,,,1,,,0,8,,N_守卫贾德森,,52060,52638,,300,3800,,,,,,,,,0,1000,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,时光森林,,,,,,2003,1008,,,,addquest_2000_success_guide,,function_gameactivitynotice,function_gameactivitynotice,,,1,0,0,,,,1,,,0,8,N_守卫贾德森,N_刺客米娜（时光森林）,,52070,52078,,500,3800,,,,,,,,,2,801,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
2003,森林入口,,,,,,2004,2000,,,,,,,mainbar_hicon_6:function_inherit,,,0,1,0,,,,1,,,0,8,,N_刺客米娜（时光森林）,,52080,52750,,600,2700,,,,,,,,,2,2001,,,,,,N_副本传送点2,1,,,,,,,,,,,,,,,,,,,,,,,
2004,密林精怪,,,,,,2005,2003,,,,,guide_takeupweapon_10_2,,,,,0,1,0,,,,1,,,0,9,,N_刺客米娜（时光森林）,,52090,52751,,700,5900,,,,,,,,,2,2002,,,,,,N_副本传送点2,1,,,,,,,,,,,,,,,,,,,,,,,
